repo	path_within_checkout	classifier_narrow	classifier_broad
filament-ide-rs	reviews/2026-07-05-plan-003-task-028-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-05-plan-003-task-094-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-05-task-035-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-06-issue-13-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-06-issue-4-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-06-plan-002-task-015-018-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-07-issue-16-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-07-issue-8-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-07-issues-17-18-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-07-issues-17-18-task-completion-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-07-plan-002-task-019-025-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-07-plan-004-platform-shell-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-08-issue-20-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-09-plan-008-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-07-10-plan-009-gap-analysis.md	ambiguous	ambiguous
filament-ide-rs	reviews/2026-07-11-issue-120-unified-footer.md	ambiguous	ambiguous
filament-ide-rs	reviews/2026-07-11-issue-144-edge-resolution-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-11-rust-quality-95-101-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-12-issue-149-graph-extraction-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-12-issue-153-stale-run-takeover-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-13-plan-012-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-25-issue-158-heartbeat-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-26-plan-013-track-c-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-26-task-154-source-watching-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-30-gantt-restyle-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-30-issues-213-216-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-07-30-org-identity-gap-analysis.md	ambiguous	ambiguous
filament-ide-rs	reviews/2026-07-30-plan-sync-container-binding-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-07-31-gantt-followups-spec-amendment.md	not-stated	not-stated
filament-ide-rs	reviews/2026-07-31-graph-projection-status-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-01-container-binding-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-01-graph-overlay-chrome-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-01-mcp-protocol-conformance.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-01-plan-015-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-01-plan-016-front-door-process-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-01-plan-018-artifact-impact-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-01-plan-019-mcp-configuration-gap-analysis.md	not-stated	skipped
filament-ide-rs	reviews/2026-08-02-graph-identity-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-04-backend-cutover-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-04-connectivity-filter-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-04-graph-layout-convergence-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-04-layer-regions-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-04-plan-022-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-08-plan-026-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-14-318-debug-round-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-14-endpoint-health-follow-ups-review.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-15-326-cargo-deny-gap-analysis.md	ambiguous	ambiguous
filament-ide-rs	reviews/2026-08-16-graph-export-streaming-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-16-search-hit-excerpt-locator-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-17-search-hit-identity.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-18-document-body-holds-payload.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-19-cosmos-plan-gap-analysis.md	ran	ran
filament-ide-rs	reviews/2026-08-20-issue-384-vector-search-gap-analysis.md	ambiguous	ambiguous
filament-ide-rs	reviews/2026-08-20-plan-004-safety-gates-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-20-plan-032-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-20-retrieval-output-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-21-code-enablement-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-21-issue-386-dev-pg-extensions-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-21-issue-397-delta-enqueue-gap-analysis.md	skipped	skipped
filament-ide-rs	reviews/2026-08-21-plan-004-safety-stack-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-21-plan-034-gap-analysis-formal.md	ran	ran
filament-ide-rs	reviews/2026-08-21-plan-036-gap-analysis-formal.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-21-response-clarity-gap-analysis.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-22-plan-004-gap-analysis-semantic.md	not-stated	not-stated
filament-ide-rs	reviews/2026-08-22-toolset-pass-2-corpus-review.md	not-stated	not-stated
filament-ide	reviews/2026-06-27-agent-session-gap-analysis.md	ambiguous	ambiguous
filament-ide	reviews/26-06-26-plugin-management-gap-analysis.md	skipped	skipped
filament-ide	reviews/27-06-27-plugin-ui-gap-analysis.md	skipped	skipped
filament-ide	reviews/27-06-27-workstream-b-gap-analysis.md	skipped	skipped
filament-ide	spec/reviews/markups-code-review.md	not-stated	not-stated
filament-ide	spec/reviews/plugin-code-review.md	not-stated	not-stated
filament-ide	spec/reviews/plugin-ui-code-review.md	not-stated	not-stated
filament-ide	spec/reviews/sidebar-menu-code-review.md	not-stated	not-stated
filament-ui	reviews/2026-06-27-ws-b-web-collab-provider.md	ran	ran
identity	reviews/2026-06-29-gap-analysis-enterprise-audit.md	not-stated	not-stated
ix-flow-agent-c-22	reviews/2026-09-01-pl-001-standard-skill-metadata-gap-analysis.md	skipped	skipped
markdown-editor	reviews/2026-06-27-plan-001-markdown-editor-roundtrip.md	ran	ran
permission-service	reviews/2026-06-29-gap-analysis-enterprise-audit.md	not-stated	not-stated
permission-service	spec/reviews/issue-21-security-gap.md	not-stated	not-stated
permission-service	spec/reviews/security-gap.md	not-stated	not-stated
quire-analyze	reviews/2026-09-15-plan-001-gap-analysis.md	skipped	skipped
quire-analyze	reviews/SR-002-migration-gap-analysis.md	not-stated	not-stated
quire-analyze	reviews/SR-004-legacy-evidence-deletion-gap-analysis.md	not-stated	not-stated
quire-cli	reviews/2026-08-23-engine-provenance-gap-analysis.md	not-stated	not-stated
quire-cli	reviews/26-08-20-gap-analysis-43.md	ran	ran
quire-cli	reviews/26-08-20-gap-analysis-45.md	ran	ran
quire-cli	reviews/SR-006-gap-analysis-matrix-flips.md	not-stated	not-stated
quire-cli	reviews/SR-008-wp5-gap-analysis.md	not-stated	not-stated
quire-cli	reviews/SR-011-assurance-export-gap-analysis.md	not-stated	not-stated
quire-cli	reviews/SR-013-assurance-export-independent-gap-analysis.md	not-stated	not-stated
quire-cli	reviews/SR-015-assurance-export-remediation-gap-analysis.md	not-stated	not-stated
quire-code-rs	reviews/2026-08-31-plan-001-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	planning/bound-oracle-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	planning/bound-vacuity-native-result-design.md	not-stated	not-stated
quire-contract-codegen	planning/foundation-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	planning/harness-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	planning/kani-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	planning/kani-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	planning/oracle-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	planning/publication-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	planning/publication-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	planning/vacuity-preimplementation-review.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-002-shared-assurance-migration-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-004-shared-assurance-closing-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-006-drop-legacy-evidence-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-007-harness-strategy-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-008-vacuity-recovery-gap-analysis.md	not-stated	not-stated
quire-contract-codegen	reviews/SR-009-bound-coverage-observations.md	not-stated	not-stated
quire-contract-ir-wave0	reviews/2026-08-30-plan-001-pgm01.md	skipped	skipped
quire-contract-ir-wave0	reviews/SR-001-pgm01-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-13-cycle-free-contract-model-gaps.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-14-native-predicate-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-14-native-temporal-gaps.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-14-temporal-ecosystem-model-gaps.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-15-kani-arithmetic-gap.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-15-kani-collections-gap.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-15-kani-integration-gap.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-15-kani-objects-gap.md	not-stated	not-stated
quire-contract-ir	reviews/2026-09-15-kani-shared-gap.md	skipped	skipped
quire-contract-ir	reviews/2026-09-15-kani-status-reconciliation-gap.md	not-stated	skipped
quire-contract-ir	reviews/2026-09-15-output-mapping-foundation-gaps.md	not-stated	skipped
quire-contract-ir	reviews/2026-09-15-plan-009-complete-v1-backend-gap-analysis.md	skipped	skipped
quire-contract-ir	reviews/REV-009-corpus-boundary-remediation-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/REV-011-traceability-status-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/REV-013-local-release-gate-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/REV-014-pr51-campaign-recovery.md	not-stated	not-stated
quire-contract-ir	reviews/REV-015-executable-binding-recovery.md	not-stated	not-stated
quire-contract-ir	reviews/SR-010-identities-spec-review.md	not-stated	not-stated
quire-contract-ir	reviews/SR-011-expressions-spec-review.md	not-stated	not-stated
quire-contract-ir	reviews/SR-012-canonicalization-spec-review.md	not-stated	not-stated
quire-contract-ir	reviews/SR-013-conformance-spec-review.md	not-stated	not-stated
quire-contract-ir	reviews/SR-023-governance-reconciliation-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-025-governance-reconciliation-closing-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-027-governance-hardening-gap-analysis.md	ran	ran
quire-contract-ir	reviews/SR-029-shared-assurance-migration-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-030-conformance-binding-preimplementation.md	not-stated	not-stated
quire-contract-ir	reviews/SR-031-conformance-binding-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-031-shared-assurance-migration-closing-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-033-drop-legacy-evidence-gap-analysis.md	not-stated	not-stated
quire-contract-ir	reviews/SR-533-issue-53-native-source-gap.md	not-stated	not-stated
quire-contract-runtime	planning/gap-analysis.md	not-stated	not-stated
quire-contract-runtime	reviews/REV-008-campaign-snapshot-design.md	not-stated	not-stated
quire-contract-runtime	reviews/SR-003-shared-assurance-migration-gap-analysis.md	not-stated	not-stated
quire-contract-runtime	reviews/SR-005-shared-assurance-closing-gap-analysis.md	not-stated	not-stated
quire-contract-runtime	reviews/SR-007-drop-legacy-evidence-gap-analysis.md	not-stated	not-stated
quire-integration	reviews/2026-09-15-plan-001-composed-integration.md	skipped	skipped
quire-integration	reviews/2026-09-15-task-002-exact-lock-gap-analysis.md	not-stated	not-stated
quire-integration	reviews/2026-09-15-task-003-execution-bundle-gap-analysis.md	not-stated	not-stated
quire-integration	reviews/2026-09-16-task-007-resource-authority-gap-analysis.md	not-stated	not-stated
quire-integration	reviews/2026-09-16-task-009-durable-effect-gap-analysis.md	not-stated	not-stated
quire-integration	spec/reviews/task-004-gap-analysis.md	not-stated	not-stated
quire-integration	spec/reviews/task-005-gap-analysis.md	not-stated	not-stated
quire-integration	spec/reviews/task-006-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-13-plan-001-gap-analysis.md	skipped	skipped
quire-observation-c00	reviews/26-09-14-plan-001-task-014-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-14-plan-001-task-015-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-15-plan-002-gap-analysis.md	skipped	skipped
quire-observation-c00	reviews/26-09-15-task-017-gap-analysis.md	not-stated	skipped
quire-observation-c00	reviews/26-09-15-task-018-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-15-task-019-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-15-task-020-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-15-task-021-gap-analysis.md	not-stated	not-stated
quire-observation-c00	reviews/26-09-15-task-022-gap-analysis.md	not-stated	not-stated
quire-protocol-fr026-owner-map	reviews/2026-09-12-plan-001-c05-gap-analysis.md	ran	ran
quire-protocol-fr026-owner-map	reviews/2026-09-14-fr-042-result-owner-gap-analysis.md	skipped	skipped
quire-protocol-fr026-owner-map	reviews/2026-09-14-plan-001-gap-analysis.md	skipped	skipped
quire-protocol-fr026-owner-map	reviews/2026-09-14-task-014-local-gate-gap-analysis.md	skipped	skipped
quire-protocol-fr026-owner-map	spec/reviews/fr042-structural-map-gap-analysis.md	not-stated	not-stated
quire-protocol-fr026-owner-map	spec/reviews/native-compiler-it001/gap-analysis.md	skipped	skipped
quire-protocol-fr026-owner-map	spec/reviews/object-adoption/object-review.md	not-stated	not-stated
quire-protocol-fr026-owner-map	spec/reviews/v2-handoff-closeout/gap-analysis.md	not-stated	not-stated
quire-protocol-fr026-owner-map	spec/reviews/v2-intake/gap-analysis.md	skipped	skipped
quire-protocol-issue12-remediation	reviews/2026-09-14-qsl-temporal-compat-gap-analysis.md	ran	ran
quire-protocol-issue12-remediation	reviews/2026-09-14-task-013-version-lock-gap-analysis.md	not-stated	not-stated
quire-protocol-issue12-remediation	reviews/2026-09-14-task-017-outcome-refusal-gap-analysis.md	ambiguous	ambiguous
quire-protocol-issue12-remediation	reviews/2026-09-15-plan-001-activation-gap-analysis.md	skipped	skipped
quire-protocol-issue12-remediation	reviews/2026-09-15-task-003-compensation-gap-analysis.md	not-stated	skipped
quire-protocol-issue12-remediation	reviews/2026-09-15-task-004-conformance-gap-analysis-sr113.md	not-stated	skipped
quire-protocol-issue12-remediation	reviews/2026-09-15-task-005-dispatch-gap-analysis.md	not-stated	skipped
