pass	run	unit	judgment	severity	label
gap-analysis	A09	D12	flagged	low	FAIL
gap-analysis	A09	D13	flagged	low	FAIL
gap-analysis	A09	D14	flagged	medium	FAIL
gap-analysis	A09	D15	flagged	medium	FAIL
gap-analysis	A10	D1	flagged	high	FAIL
gap-analysis	A10	D2	flagged	medium	FAIL
gap-analysis	A10	D3	flagged	medium	FAIL
gap-analysis	A10	D5	flagged	medium	FAIL
gap-analysis	A10	D6	flagged	medium	FAIL
gap-analysis	A10	D7	flagged	medium	FAIL
gap-analysis	A10	D8	flagged	low	FAIL
gap-analysis	A10	D9	flagged	medium	FAIL
gap-analysis	A10	D10	flagged	medium	FAIL
gap-analysis	A10	D12	flagged	low	FAIL
gap-analysis	A10	D15	flagged	medium	FAIL
gap-analysis	A11	D1	flagged	high	FAIL
gap-analysis	A11	D2	flagged	medium	FAIL
gap-analysis	A11	D3	flagged	medium	FAIL
gap-analysis	A11	D5	flagged	low	FAIL
gap-analysis	A11	D7	flagged	medium	FAIL
gap-analysis	A11	D9	flagged	low	FAIL
gap-analysis	A11	D10	flagged	medium	FAIL
gap-analysis	A11	D12	flagged	low	FAIL
gap-analysis	A11	D14	flagged	low	FAIL
gap-analysis	A12	D1	flagged	high	FAIL
gap-analysis	A12	D2	flagged	medium	FAIL
gap-analysis	A12	D3	flagged	medium	FAIL
gap-analysis	A12	D5	flagged	medium	FAIL
gap-analysis	A12	D7	flagged	medium	FAIL
gap-analysis	A12	D8	flagged	low	FAIL
gap-analysis	A12	D10	flagged	medium	FAIL
gap-analysis	A12	D13	flagged	low	FAIL
gap-analysis	A13	D1	flagged	high	FAIL
gap-analysis	A13	D2	flagged	medium	FAIL
gap-analysis	A13	D3	flagged	medium	FAIL
gap-analysis	A13	D5	flagged	medium	FAIL
gap-analysis	A13	D6	flagged	medium	FAIL
gap-analysis	A13	D7	flagged	medium	FAIL
gap-analysis	A13	D8	flagged	low	FAIL
gap-analysis	A13	D14	flagged	low	FAIL
gap-analysis	A14	D1	flagged	high	FAIL
gap-analysis	A14	D2	flagged	medium	FAIL
gap-analysis	A14	D3	flagged	medium	FAIL
gap-analysis	A14	D5	flagged	medium	FAIL
gap-analysis	A14	D6	flagged	medium	FAIL
gap-analysis	A14	D7	flagged	medium	FAIL
gap-analysis	A14	D8	flagged	low	FAIL
gap-analysis	A14	D10	flagged	medium	FAIL
gap-analysis	A14	D14	flagged	medium	FAIL
gap-analysis	A14	D15	flagged	medium	FAIL
gap-analysis	A15	D1	flagged	high	FAIL
gap-analysis	A15	D2	flagged	medium	FAIL
gap-analysis	A15	D3	flagged	medium	FAIL
gap-analysis	A15	D4	flagged	medium	FAIL
gap-analysis	A15	D5	flagged	medium	FAIL
gap-analysis	A15	D6	flagged	medium	FAIL
gap-analysis	A15	D7	flagged	medium	FAIL
gap-analysis	A15	D8	flagged	low	FAIL
gap-analysis	A15	D9	flagged	medium	FAIL
gap-analysis	A15	D10	flagged	medium	FAIL
gap-analysis	A15	D12	flagged	low	FAIL
gap-analysis	A15	D15	flagged	medium	FAIL
gap-analysis	A16	D1	flagged	high	FAIL
gap-analysis	A16	D2	flagged	medium	FAIL
gap-analysis	A16	D3	flagged	medium	FAIL
gap-analysis	A16	D4	flagged	medium	FAIL
gap-analysis	A16	D5	flagged	medium	FAIL
gap-analysis	A16	D6	flagged	medium	FAIL
gap-analysis	A16	D7	flagged	medium	FAIL
gap-analysis	A16	D8	flagged	low	FAIL
gap-analysis	A16	D9	flagged	low	FAIL
gap-analysis	A16	D10	flagged	medium	FAIL
gap-analysis	A16	D11	flagged	medium	FAIL
gap-analysis	A16	D12	flagged	medium	FAIL
gap-analysis	A16	D13	flagged	low	FAIL
gap-analysis	A16	D15	flagged	medium	FAIL
gap-analysis	A17	D1	flagged	high	FAIL
gap-analysis	A17	D2	flagged	medium	FAIL
gap-analysis	A17	D3	flagged	medium	FAIL
gap-analysis	A17	D5	flagged	medium	FAIL
gap-analysis	A17	D7	flagged	high	FAIL
gap-analysis	A17	D8	flagged	low	FAIL
gap-analysis	A17	D9	flagged	medium	FAIL
gap-analysis	A17	D10	flagged	medium	FAIL
gap-analysis	A17	D13	flagged	low	FAIL
gap-analysis	A17	D15	flagged	medium	FAIL
gap-analysis	A18	D1	flagged	high	FAIL
gap-analysis	A18	D2	flagged	medium	FAIL
gap-analysis	A18	D3	flagged	medium	FAIL
gap-analysis	A18	D5	flagged	medium	FAIL
gap-analysis	A18	D6	flagged	medium	FAIL
gap-analysis	A18	D7	flagged	medium	FAIL
gap-analysis	A18	D8	flagged	low	FAIL
gap-analysis	A18	D9	flagged	low	FAIL
gap-analysis	A18	D10	flagged	medium	FAIL
gap-analysis	A19	D1	flagged	high	FAIL
gap-analysis	A19	D2	flagged	medium	FAIL
gap-analysis	A19	D3	flagged	medium	FAIL
gap-analysis	A19	D4	flagged	medium	FAIL
gap-analysis	A19	D5	flagged	medium	FAIL
gap-analysis	A19	D7	flagged	medium	FAIL
gap-analysis	A19	D8	flagged	low	FAIL
gap-analysis	A19	D9	flagged	medium	FAIL
gap-analysis	A19	D10	flagged	medium	FAIL
gap-analysis	A19	D11	flagged	medium	FAIL
gap-analysis	A19	D15	flagged	low	FAIL
gap-analysis	A20	D1	flagged	high	FAIL
gap-analysis	A20	D2	flagged	medium	FAIL
gap-analysis	A20	D3	flagged	medium	FAIL
gap-analysis	A20	D5	flagged	medium	FAIL
gap-analysis	A20	D6	flagged	medium	FAIL
gap-analysis	A20	D7	flagged	medium	FAIL
gap-analysis	A20	D10	flagged	medium	FAIL
gap-analysis	A20	D12	flagged	low	FAIL
gap-analysis	A20	D13	flagged	low	FAIL
gap-analysis	A20	D14	flagged	low	FAIL
gap-analysis	A20	D15	flagged	medium	FAIL
gap-analysis	A20	D16	flagged	low	FAIL
spec-ears	B01	ST-01	clean		ubiquitous
spec-ears	B01	ST-02	flagged	low	state_driven
spec-ears	B01	ST-03	clean		ubiquitous
spec-ears	B01	ST-04	clean		ubiquitous
spec-ears	B01	ST-05	clean		ubiquitous
spec-ears	B01	ST-06	clean		ubiquitous
spec-ears	B01	ST-07	clean		ubiquitous
spec-ears	B01	ST-08	flagged	low	state_driven
spec-ears	B01	ST-09	clean		ubiquitous
spec-ears	B01	ST-10	clean		ubiquitous
spec-ears	B01	ST-11	clean		ubiquitous
spec-ears	B01	ST-12	clean		ubiquitous
spec-ears	B01	ST-13	clean		ubiquitous
spec-ears	B01	ST-14	clean		ubiquitous
spec-ears	B01	ST-15	clean		ubiquitous
spec-ears	B01	ST-16	clean		ubiquitous
spec-ears	B01	ST-17	clean		ubiquitous
spec-ears	B01	ST-18	clean		unwanted_behaviour
spec-ears	B01	ST-19	clean		ubiquitous
spec-ears	B01	ST-20	clean		ubiquitous
spec-ears	B01	ST-21	clean		ubiquitous
spec-ears	B01	ST-22	clean		ubiquitous
spec-ears	B01	ST-23	clean		ubiquitous
spec-ears	B02	ST-01	clean		ubiquitous
spec-ears	B02	ST-02	clean		state_driven
spec-ears	B02	ST-03	clean		ubiquitous
spec-ears	B02	ST-04	clean		ubiquitous
spec-ears	B02	ST-05	clean		ubiquitous
spec-ears	B02	ST-06	clean		ubiquitous
spec-ears	B02	ST-07	clean		ubiquitous
spec-ears	B02	ST-08	clean		state_driven
spec-ears	B02	ST-09	clean		ubiquitous
spec-ears	B02	ST-10	flagged	low	ubiquitous
spec-ears	B02	ST-11	clean		ubiquitous
spec-ears	B02	ST-12	clean		unwanted_behaviour
spec-ears	B02	ST-13	clean		ubiquitous
spec-ears	B02	ST-14	clean		unwanted_behaviour
spec-ears	B02	ST-15	clean		unwanted_behaviour
spec-ears	B02	ST-16	clean		unwanted_behaviour
spec-ears	B02	ST-17	clean		unwanted_behaviour
spec-ears	B02	ST-18	clean		unwanted_behaviour
spec-ears	B02	ST-19	flagged	low	unwanted_behaviour
spec-ears	B02	ST-20	clean		ubiquitous
spec-ears	B02	ST-21	clean		ubiquitous
spec-ears	B02	ST-22	clean		ubiquitous
spec-ears	B02	ST-23	clean		ubiquitous
spec-ears	B03	ST-01	clean		ubiquitous
spec-ears	B03	ST-02	flagged	low	event_driven
spec-ears	B03	ST-03	clean		ubiquitous
spec-ears	B03	ST-04	clean		ubiquitous
spec-ears	B03	ST-05	clean		ubiquitous
spec-ears	B03	ST-06	clean		ubiquitous
spec-ears	B03	ST-07	clean		ubiquitous
spec-ears	B03	ST-08	flagged	low	event_driven
spec-ears	B03	ST-09	clean		ubiquitous
spec-ears	B03	ST-10	flagged	low	ubiquitous
spec-ears	B03	ST-11	clean		ubiquitous
spec-ears	B03	ST-12	clean		ubiquitous
spec-ears	B03	ST-13	clean		ubiquitous
spec-ears	B03	ST-14	flagged	low	unwanted_behaviour
spec-ears	B03	ST-15	flagged	low	unwanted_behaviour
spec-ears	B03	ST-16	flagged	low	unwanted_behaviour
spec-ears	B03	ST-17	flagged	low	unwanted_behaviour
spec-ears	B03	ST-18	clean		unwanted_behaviour
spec-ears	B03	ST-19	flagged	low	unwanted_behaviour
spec-ears	B03	ST-20	clean		ubiquitous
spec-ears	B03	ST-21	clean		ubiquitous
spec-ears	B03	ST-22	clean		ubiquitous
spec-ears	B03	ST-23	clean		ubiquitous
spec-ears	B04	ST-01	clean		ubiquitous
spec-ears	B04	ST-02	clean		state_driven
spec-ears	B04	ST-03	clean		ubiquitous
spec-ears	B04	ST-04	clean		ubiquitous
spec-ears	B04	ST-05	clean		ubiquitous
spec-ears	B04	ST-06	clean		ubiquitous
spec-ears	B04	ST-07	clean		ubiquitous
spec-ears	B04	ST-08	clean		state_driven
spec-ears	B04	ST-09	clean		ubiquitous
spec-ears	B04	ST-10	flagged	low	ubiquitous
spec-ears	B04	ST-11	clean		ubiquitous
spec-ears	B04	ST-12	flagged	low	ubiquitous
spec-ears	B04	ST-13	clean		ubiquitous
spec-ears	B04	ST-14	clean		ubiquitous
spec-ears	B04	ST-15	clean		ubiquitous
spec-ears	B04	ST-16	clean		ubiquitous
spec-ears	B04	ST-17	clean		ubiquitous
spec-ears	B04	ST-18	clean		unwanted_behaviour
spec-ears	B04	ST-19	clean		ubiquitous
spec-ears	B04	ST-20	clean		ubiquitous
spec-ears	B04	ST-21	clean		ubiquitous
spec-ears	B04	ST-22	clean		ubiquitous
spec-ears	B04	ST-23	flagged	low	ubiquitous
spec-ears	B05	ST-01	clean		ubiquitous
spec-ears	B05	ST-02	clean		state_driven
spec-ears	B05	ST-03	clean		ubiquitous
spec-ears	B05	ST-04	clean		ubiquitous
spec-ears	B05	ST-05	clean		ubiquitous
spec-ears	B05	ST-06	clean		ubiquitous
spec-ears	B05	ST-07	clean		ubiquitous
spec-ears	B05	ST-08	clean		state_driven
spec-ears	B05	ST-09	clean		ubiquitous
spec-ears	B05	ST-10	flagged	low	ubiquitous
spec-ears	B05	ST-11	clean		ubiquitous
spec-ears	B05	ST-12	flagged	low	ubiquitous
spec-ears	B05	ST-13	clean		ubiquitous
spec-ears	B05	ST-14	clean		ubiquitous
spec-ears	B05	ST-15	clean		ubiquitous
spec-ears	B05	ST-16	clean		ubiquitous
spec-ears	B05	ST-17	clean		ubiquitous
spec-ears	B05	ST-18	clean		unwanted_behaviour
spec-ears	B05	ST-19	clean		ubiquitous
spec-ears	B05	ST-20	clean		ubiquitous
spec-ears	B05	ST-21	clean		ubiquitous
spec-ears	B05	ST-22	clean		ubiquitous
spec-ears	B05	ST-23	clean		ubiquitous
spec-ears	B06	ST-01	clean		ubiquitous
spec-ears	B06	ST-02	flagged	low	state_driven
spec-ears	B06	ST-03	clean		ubiquitous
spec-ears	B06	ST-04	clean		ubiquitous
spec-ears	B06	ST-05	clean		ubiquitous
spec-ears	B06	ST-06	clean		ubiquitous
spec-ears	B06	ST-07	clean		ubiquitous
spec-ears	B06	ST-08	flagged	low	state_driven
spec-ears	B06	ST-09	clean		ubiquitous
spec-ears	B06	ST-10	flagged	low	ubiquitous
spec-ears	B06	ST-11	clean		ubiquitous
spec-ears	B06	ST-12	clean		ubiquitous
spec-ears	B06	ST-13	clean		ubiquitous
spec-ears	B06	ST-14	clean		ubiquitous
spec-ears	B06	ST-15	clean		ubiquitous
spec-ears	B06	ST-16	clean		ubiquitous
spec-ears	B06	ST-17	clean		ubiquitous
spec-ears	B06	ST-18	flagged	low	unwanted_behaviour
spec-ears	B06	ST-19	clean		ubiquitous
spec-ears	B06	ST-20	clean		ubiquitous
spec-ears	B06	ST-21	clean		ubiquitous
spec-ears	B06	ST-22	clean		ubiquitous
spec-ears	B06	ST-23	clean		ubiquitous
spec-ears	B07	ST-01	clean		ubiquitous
spec-ears	B07	ST-02	clean		state_driven
spec-ears	B07	ST-03	flagged	medium	ubiquitous
spec-ears	B07	ST-04	clean		ubiquitous
spec-ears	B07	ST-05	clean		ubiquitous
spec-ears	B07	ST-06	clean		ubiquitous
spec-ears	B07	ST-07	clean		ubiquitous
spec-ears	B07	ST-08	clean		state_driven
spec-ears	B07	ST-09	clean		ubiquitous
spec-ears	B07	ST-10	flagged	low	ubiquitous
spec-ears	B07	ST-11	clean		ubiquitous
spec-ears	B07	ST-12	flagged	low	unwanted_behaviour
spec-ears	B07	ST-13	clean		ubiquitous
spec-ears	B07	ST-14	clean		unwanted_behaviour
spec-ears	B07	ST-15	clean		unwanted_behaviour
spec-ears	B07	ST-16	clean		unwanted_behaviour
spec-ears	B07	ST-17	clean		unwanted_behaviour
spec-ears	B07	ST-18	clean		unwanted_behaviour
spec-ears	B07	ST-19	clean		unwanted_behaviour
spec-ears	B07	ST-20	clean		ubiquitous
spec-ears	B07	ST-21	clean		ubiquitous
spec-ears	B07	ST-22	clean		ubiquitous
spec-ears	B07	ST-23	clean		ubiquitous
spec-ears	B08	ST-01	clean		ubiquitous
spec-ears	B08	ST-02	flagged	low	state_driven
spec-ears	B08	ST-03	clean		ubiquitous
spec-ears	B08	ST-04	clean		ubiquitous
spec-ears	B08	ST-05	clean		ubiquitous
spec-ears	B08	ST-06	clean		ubiquitous
spec-ears	B08	ST-07	clean		ubiquitous
spec-ears	B08	ST-08	flagged	low	state_driven
spec-ears	B08	ST-09	clean		ubiquitous
spec-ears	B08	ST-10	flagged	low	ubiquitous
spec-ears	B08	ST-11	clean		ubiquitous
spec-ears	B08	ST-12	clean		ubiquitous
spec-ears	B08	ST-13	clean		ubiquitous
spec-ears	B08	ST-14	clean		ubiquitous
spec-ears	B08	ST-15	clean		ubiquitous
spec-ears	B08	ST-16	clean		ubiquitous
spec-ears	B08	ST-17	clean		ubiquitous
spec-ears	B08	ST-18	clean		unwanted_behaviour
spec-ears	B08	ST-19	clean		ubiquitous
spec-ears	B08	ST-20	clean		ubiquitous
spec-ears	B08	ST-21	clean		ubiquitous
spec-ears	B08	ST-22	clean		ubiquitous
spec-ears	B08	ST-23	clean		ubiquitous
spec-ears	B09	ST-01	clean		ubiquitous
spec-ears	B09	ST-02	flagged	low	event_driven
spec-ears	B09	ST-03	flagged	low	ubiquitous
spec-ears	B09	ST-04	clean		ubiquitous
spec-ears	B09	ST-05	flagged	medium	ubiquitous
spec-ears	B09	ST-06	clean		ubiquitous
spec-ears	B09	ST-07	clean		ubiquitous
spec-ears	B09	ST-08	flagged	low	event_driven
spec-ears	B09	ST-09	clean		ubiquitous
spec-ears	B09	ST-10	clean		ubiquitous
spec-ears	B09	ST-11	clean		ubiquitous
spec-ears	B09	ST-12	clean		unwanted_behaviour
spec-ears	B09	ST-13	clean		ubiquitous
spec-ears	B09	ST-14	clean		unwanted_behaviour
spec-ears	B09	ST-15	clean		unwanted_behaviour
spec-ears	B09	ST-16	clean		unwanted_behaviour
spec-ears	B09	ST-17	clean		unwanted_behaviour
spec-ears	B09	ST-18	clean		unwanted_behaviour
spec-ears	B09	ST-19	flagged	low	unwanted_behaviour
spec-ears	B09	ST-20	clean		ubiquitous
spec-ears	B09	ST-21	clean		ubiquitous
spec-ears	B09	ST-22	clean		ubiquitous
spec-ears	B09	ST-23	clean		ubiquitous
spec-ears	B10	ST-01	clean		ubiquitous
spec-ears	B10	ST-02	clean		event_driven
spec-ears	B10	ST-03	clean		ubiquitous
spec-ears	B10	ST-04	clean		ubiquitous
spec-ears	B10	ST-05	clean		ubiquitous
spec-ears	B10	ST-06	clean		ubiquitous
spec-ears	B10	ST-07	clean		ubiquitous
spec-ears	B10	ST-08	clean		event_driven
spec-ears	B10	ST-09	clean		ubiquitous
spec-ears	B10	ST-10	flagged	low	ubiquitous
spec-ears	B10	ST-11	clean		ubiquitous
spec-ears	B10	ST-12	clean		unwanted_behaviour
spec-ears	B10	ST-13	clean		ubiquitous
spec-ears	B10	ST-14	flagged	low	unwanted_behaviour
spec-ears	B10	ST-15	flagged	low	unwanted_behaviour
spec-ears	B10	ST-16	flagged	low	unwanted_behaviour
spec-ears	B10	ST-17	flagged	low	unwanted_behaviour
spec-ears	B10	ST-18	clean		unwanted_behaviour
spec-ears	B10	ST-19	flagged	low	unwanted_behaviour
spec-ears	B10	ST-20	clean		ubiquitous
spec-ears	B10	ST-21	clean		ubiquitous
spec-ears	B10	ST-22	clean		ubiquitous
spec-ears	B10	ST-23	clean		ubiquitous
spec-ears	B11	ST-01	clean		ubiquitous
spec-ears	B11	ST-02	clean		state_driven
spec-ears	B11	ST-03	clean		ubiquitous
spec-ears	B11	ST-04	clean		ubiquitous
spec-ears	B11	ST-05	clean		ubiquitous
spec-ears	B11	ST-06	clean		ubiquitous
spec-ears	B11	ST-07	clean		ubiquitous
spec-ears	B11	ST-08	clean		state_driven
spec-ears	B11	ST-09	clean		ubiquitous
spec-ears	B11	ST-10	flagged	low	ubiquitous
spec-ears	B11	ST-11	clean		ubiquitous
spec-ears	B11	ST-12	clean		ubiquitous
spec-ears	B11	ST-13	clean		ubiquitous
spec-ears	B11	ST-14	clean		ubiquitous
spec-ears	B11	ST-15	clean		ubiquitous
spec-ears	B11	ST-16	clean		ubiquitous
spec-ears	B11	ST-17	clean		ubiquitous
spec-ears	B11	ST-18	flagged	low	unwanted_behaviour
spec-ears	B11	ST-19	clean		ubiquitous
spec-ears	B11	ST-20	clean		ubiquitous
spec-ears	B11	ST-21	clean		ubiquitous
spec-ears	B11	ST-22	clean		ubiquitous
spec-ears	B11	ST-23	clean		ubiquitous
spec-ears	B12	ST-01	clean		ubiquitous
spec-ears	B12	ST-02	clean		state_driven
spec-ears	B12	ST-03	flagged	low	ubiquitous
spec-ears	B12	ST-04	clean		ubiquitous
spec-ears	B12	ST-05	clean		ubiquitous
spec-ears	B12	ST-06	clean		ubiquitous
spec-ears	B12	ST-07	clean		ubiquitous
spec-ears	B12	ST-08	clean		state_driven
spec-ears	B12	ST-09	clean		ubiquitous
spec-ears	B12	ST-10	flagged	low	ubiquitous
spec-ears	B12	ST-11	clean		ubiquitous
spec-ears	B12	ST-12	clean		unwanted_behaviour
spec-ears	B12	ST-13	clean		ubiquitous
spec-ears	B12	ST-14	clean		unwanted_behaviour
spec-ears	B12	ST-15	clean		unwanted_behaviour
spec-ears	B12	ST-16	clean		unwanted_behaviour
spec-ears	B12	ST-17	clean		unwanted_behaviour
spec-ears	B12	ST-18	clean		unwanted_behaviour
spec-ears	B12	ST-19	clean		unwanted_behaviour
spec-ears	B12	ST-20	clean		ubiquitous
spec-ears	B12	ST-21	clean		ubiquitous
spec-ears	B12	ST-22	clean		ubiquitous
spec-ears	B12	ST-23	clean		ubiquitous
spec-ears	B13	ST-01	clean		ubiquitous
spec-ears	B13	ST-02	clean		state_driven
spec-ears	B13	ST-03	clean		ubiquitous
spec-ears	B13	ST-04	clean		ubiquitous
spec-ears	B13	ST-05	clean		ubiquitous
spec-ears	B13	ST-06	clean		ubiquitous
spec-ears	B13	ST-07	clean		ubiquitous
spec-ears	B13	ST-08	clean		state_driven
spec-ears	B13	ST-09	clean		ubiquitous
spec-ears	B13	ST-10	flagged	low	ubiquitous
spec-ears	B13	ST-11	clean		ubiquitous
spec-ears	B13	ST-12	clean		unwanted_behaviour
spec-ears	B13	ST-13	clean		ubiquitous
spec-ears	B13	ST-14	clean		unwanted_behaviour
spec-ears	B13	ST-15	clean		unwanted_behaviour
spec-ears	B13	ST-16	clean		unwanted_behaviour
spec-ears	B13	ST-17	clean		unwanted_behaviour
spec-ears	B13	ST-18	clean		unwanted_behaviour
spec-ears	B13	ST-19	flagged	low	unwanted_behaviour
spec-ears	B13	ST-20	clean		ubiquitous
spec-ears	B13	ST-21	clean		ubiquitous
spec-ears	B13	ST-22	clean		ubiquitous
spec-ears	B13	ST-23	clean		ubiquitous
spec-ears	B14	ST-01	clean		ubiquitous
spec-ears	B14	ST-02	flagged	low	event_driven
spec-ears	B14	ST-03	flagged	low	ubiquitous
spec-ears	B14	ST-04	clean		ubiquitous
spec-ears	B14	ST-05	clean		ubiquitous
spec-ears	B14	ST-06	clean		ubiquitous
spec-ears	B14	ST-07	clean		ubiquitous
spec-ears	B14	ST-08	flagged	low	event_driven
spec-ears	B14	ST-09	clean		ubiquitous
spec-ears	B14	ST-10	flagged	low	ubiquitous
spec-ears	B14	ST-11	clean		ubiquitous
spec-ears	B14	ST-12	clean		unwanted_behaviour
spec-ears	B14	ST-13	clean		ubiquitous
spec-ears	B14	ST-14	clean		unwanted_behaviour
spec-ears	B14	ST-15	clean		unwanted_behaviour
spec-ears	B14	ST-16	clean		unwanted_behaviour
spec-ears	B14	ST-17	clean		unwanted_behaviour
spec-ears	B14	ST-18	clean		unwanted_behaviour
spec-ears	B14	ST-19	flagged	low	unwanted_behaviour
spec-ears	B14	ST-20	clean		ubiquitous
spec-ears	B14	ST-21	clean		ubiquitous
spec-ears	B14	ST-22	clean		ubiquitous
spec-ears	B14	ST-23	clean		ubiquitous
spec-ears	B15	ST-01	clean		ubiquitous
spec-ears	B15	ST-02	flagged	low	state_driven
spec-ears	B15	ST-03	clean		ubiquitous
spec-ears	B15	ST-04	clean		ubiquitous
spec-ears	B15	ST-05	clean		ubiquitous
spec-ears	B15	ST-06	clean		ubiquitous
spec-ears	B15	ST-07	clean		ubiquitous
spec-ears	B15	ST-08	flagged	low	state_driven
spec-ears	B15	ST-09	clean		ubiquitous
spec-ears	B15	ST-10	flagged	low	ubiquitous
spec-ears	B15	ST-11	clean		ubiquitous
spec-ears	B15	ST-12	clean		ubiquitous
spec-ears	B15	ST-13	clean		ubiquitous
spec-ears	B15	ST-14	clean		ubiquitous
spec-ears	B15	ST-15	clean		ubiquitous
spec-ears	B15	ST-16	clean		ubiquitous
spec-ears	B15	ST-17	clean		ubiquitous
spec-ears	B15	ST-18	clean		unwanted_behaviour
spec-ears	B15	ST-19	flagged	medium	ubiquitous
spec-ears	B15	ST-20	clean		ubiquitous
spec-ears	B15	ST-21	clean		ubiquitous
spec-ears	B15	ST-22	clean		ubiquitous
spec-ears	B15	ST-23	clean		ubiquitous
spec-ears	B16	ST-01	clean		ubiquitous
spec-ears	B16	ST-02	clean		event_driven
spec-ears	B16	ST-03	clean		ubiquitous
spec-ears	B16	ST-04	clean		ubiquitous
spec-ears	B16	ST-05	clean		ubiquitous
spec-ears	B16	ST-06	clean		ubiquitous
spec-ears	B16	ST-07	clean		ubiquitous
spec-ears	B16	ST-08	clean		event_driven
spec-ears	B16	ST-09	clean		ubiquitous
spec-ears	B16	ST-10	flagged	low	ubiquitous
spec-ears	B16	ST-11	clean		ubiquitous
spec-ears	B16	ST-12	clean		unwanted_behaviour
spec-ears	B16	ST-13	clean		ubiquitous
spec-ears	B16	ST-14	flagged	low	unwanted_behaviour
spec-ears	B16	ST-15	flagged	low	unwanted_behaviour
spec-ears	B16	ST-16	flagged	low	unwanted_behaviour
spec-ears	B16	ST-17	flagged	low	unwanted_behaviour
spec-ears	B16	ST-18	clean		unwanted_behaviour
